"","X","idno","agea","gndr","hinctnta","hlthhmp","medtrun","fltsd","cldgng","fltdpr","slprl","cgtsmok","alcfreq","dosprt","ctrlife"
"1",1,50095,15,2,88,3,1,1,2,1,2,6,7,0,7
"2",2,50097,66,2,6,2,2,2,2,1,2,5,6,7,8
"3",3,50109,88,2,3,2,1,2,1,2,1,6,7,3,7
"4",4,50116,62,1,4,3,2,1,1,1,2,4,3,2,5
"5",5,50117,56,2,77,3,1,2,2,3,2,1,6,5,2
"6",6,50141,70,2,2,3,2,1,1,1,1,3,7,4,9
"7",7,50157,90,1,5,3,2,1,1,1,2,4,3,0,8
"8",8,50170,63,2,9,2,1,1,1,1,2,6,2,0,8
"9",9,50178,33,2,77,3,2,2,2,1,2,3,4,3,10
"10",10,50179,41,2,4,2,1,2,2,2,3,4,1,0,6
"11",11,50201,84,1,77,1,1,3,2,4,4,6,2,0,1
"12",12,50205,50,1,9,3,2,2,1,3,1,4,2,1,4
"13",13,50230,38,1,4,3,2,2,1,2,2,4,3,2,8
"14",14,50250,67,1,9,3,2,1,1,1,2,6,2,7,8
"15",16,50319,30,1,9,3,2,2,1,1,2,5,5,5,9
"16",17,50342,50,2,2,3,2,2,1,1,1,4,2,5,9
"17",18,50373,52,1,2,3,2,1,1,1,2,3,6,7,10
"18",20,50400,55,2,2,2,1,2,2,1,3,4,4,4,9
"19",21,50401,64,1,7,3,2,1,1,1,1,6,7,2,5
"20",22,50416,57,1,10,3,2,1,1,1,2,1,5,0,10
"21",24,50462,69,2,6,1,2,1,2,1,2,6,3,0,8
"23",27,50478,74,1,77,2,2,2,1,2,3,6,3,7,10
"24",28,50502,26,2,77,1,1,4,4,3,3,2,6,1,3
"25",29,50521,23,1,1,2,2,2,2,2,3,6,7,7,6
"26",30,50527,33,1,8,3,1,2,2,2,2,6,4,1,3
"27",31,50538,21,1,88,3,2,1,1,1,1,6,4,1,7
"28",32,50571,52,2,5,3,1,2,1,1,1,6,3,3,7
"29",33,50575,21,1,88,2,8,1,2,2,3,6,5,3,8
"30",34,50599,31,2,77,2,2,1,2,2,2,6,5,7,10
"31",35,50646,35,2,8,2,2,2,1,1,2,6,6,2,5
"32",36,50674,58,1,77,3,2,2,2,1,2,6,7,7,10
"33",37,50675,61,2,2,2,2,2,2,2,3,4,7,3,6
"34",38,50708,29,2,3,3,2,1,1,2,4,6,7,7,10
